,ts,id,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8
57,2023-02-24T00:25:20.285000,7463831554,441.75,201.72,71.91,109.06,548.04,928.45,847.13,831.95
58,2023-02-24T00:25:20.290000,7463831555,442.5,201.99,72.61,109.4,547.74,929.04,847.42,832.06
59,2023-02-24T00:25:20.295000,7463831556,442.78,201.46,71.72,109.83,547.26,929.33,847.32,832.19
60,2023-02-24T00:25:20.300000,7463831557,442.72,201.49,72.02,109.21,547.79,928.55,847.51,831.47
61,2023-02-24T00:25:20.305000,7463831558,442.61,201.9,72.45,108.9,547.63,928.81,847.54,832.4
62,2023-02-24T00:25:20.310000,7463831559,442.57,201.61,72.03,109.2,547.83,929.65,846.73,832.2
63,2023-02-24T00:25:20.315000,7463831560,441.85,200.87,71.91,109.25,547.36,929.02,846.93,832.03
64,2023-02-24T00:25:20.320000,7463831561,441.87,201.74,71.64,108.83,547.03,928.75,846.43,831.57
65,2023-02-24T00:25:20.325000,7463831562,442.36,201.2,72.15,109.74,547.66,929.3,847.02,832.14
66,2023-02-24T00:25:20.330000,7463831563,442.94,201.84,72.16,109.97,547.94,929.02,847.29,832.18
67,2023-02-24T00:25:20.335000,7463831564,442.73,202.08,71.66,109.6,547.06,929.25,846.96,831.98
68,2023-02-24T00:25:20.340000,7463831565,442.25,201.35,71.98,108.51,547.12,928.33,847.04,831.84
69,2023-02-24T00:25:20.345000,7463831566,442.75,201.24,71.9,109.03,548.27,928.75,846.95,832.2
70,2023-02-24T00:25:20.350000,7463831567,442.7,202.23,72.12,109.62,548.28,929.22,847.51,831.78
71,2023-02-24T00:25:20.355000,7463831568,442.8,201.92,72.15,109.82,547.41,929.36,847.67,831.41
72,2023-02-24T00:25:20.360000,7463831569,442.58,201.32,72.19,108.87,547.41,928.66,846.95,831.54
73,2023-02-24T00:25:20.365000,7463831570,442.37,201.84,72.24,109.39,547.88,928.66,847.31,831.51
74,2023-02-24T00:25:20.370000,7463831571,442.98,201.6,72.69,110.12,548.11,929.17,847.45,832.26
75,2023-02-24T00:25:20.375000,7463831572,442.08,202.1,72.39,109.26,547.45,929.39,846.76,831.75
76,2023-02-24T00:25:20.380000,7463831573,442.18,201.29,72.12,108.67,547.63,928.73,847.4,831.96
77,2023-02-24T00:25:20.385000,7463831574,442.3,201.75,71.64,109.34,547.33,928.96,847.14,832.03
78,2023-02-24T00:25:20.390000,7463831575,442.54,202.21,71.9,109.37,547.37,928.86,847.21,831.99
79,2023-02-24T00:25:20.395000,7463831576,442.45,201.88,72.61,109.01,547.46,929.13,846.93,831.58
80,2023-02-24T00:25:20.400000,7463831577,441.9,202.06,72.8,108.62,547.05,928.83,846.14,831.55
81,2023-02-24T00:25:20.405000,7463831578,443.35,201.64,71.98,109.7,547.61,928.94,847.17,831.83
82,2023-02-24T00:25:20.410000,7463831579,442.34,201.22,72.63,109.96,548.02,929.29,847.33,832.01
83,2023-02-24T00:25:20.415000,7463831580,442.5,201.34,72.13,109.46,547.61,928.95,846.72,831.66
84,2023-02-24T00:25:20.420000,7463831581,441.73,201.47,72.09,109.43,548.2,929.29,847.73,832.23
85,2023-02-24T00:25:20.425000,7463831582,441.83,201.65,71.76,109.25,547.93,928.94,847.25,832.67
86,2023-02-24T00:25:20.430000,7463831583,442.62,201.83,72.18,109.61,547.76,929.29,847.49,832.48
87,2023-02-24T00:25:20.435000,7463831584,441.97,201.69,71.8,109.31,547.93,928.83,847.1,831.8
88,2023-02-24T00:25:20.440000,7463831585,442.1,201.73,71.98,108.4,547.36,928.9,847.17,831.96
89,2023-02-24T00:25:20.445000,7463831586,442.45,201.5,72.06,109.33,547.59,929.03,847.06,832.21
90,2023-02-24T00:25:20.450000,7463831587,442.79,201.8,72,109.51,547.94,929.23,847.44,831.73
91,2023-02-24T00:25:20.455000,7463831588,442.37,201.47,72.17,108.87,547.56,929.4,847.17,832.31
92,2023-02-24T00:25:20.460000,7463831589,442.04,201.55,71.64,108.83,547.99,929.18,847.11,831.97
93,2023-02-24T00:25:20.465000,7463831590,442.17,201.82,72.2,109.32,547.88,929.58,847.16,831.84
94,2023-02-24T00:25:20.470000,7463831591,443.2,201.99,72.42,109.54,547.31,929.17,847.33,831.73
95,2023-02-24T00:25:20.475000,7463831592,442.3,201.98,72.71,108.94,547.44,928.9,846.92,831.46
